lat,lng
38.33,-0.52
38.33,-0.516
38.33,-0.512
38.33,-0.508
38.33,-0.504
38.33,-0.5
38.33,-0.496
38.33,-0.492
38.33,-0.488
38.33,-0.484
38.33,-0.48
38.33,-0.476
38.33,-0.472
38.33,-0.46799999999999997
38.33,-0.46399999999999997
38.33,-0.45999999999999996
38.33,-0.45599999999999996
38.33,-0.45199999999999996
38.33,-0.44799999999999995
38.33,-0.44399999999999995
38.33,-0.43999999999999995
38.33,-0.43599999999999994
38.33,-0.43199999999999994
38.33,-0.42799999999999994
38.33,-0.42399999999999993
38.33,-0.41999999999999993
38.33,-0.4159999999999999
38.33,-0.4119999999999999
38.33,-0.4079999999999999
38.33,-0.4039999999999999
38.33,-0.3999999999999999
38.33,-0.3959999999999999
38.33,-0.3919999999999999
38.333,-0.52
38.333,-0.516
38.333,-0.512
38.333,-0.508
38.333,-0.504
38.333,-0.5
38.333,-0.496
38.333,-0.492
38.333,-0.488
38.333,-0.484
38.333,-0.48
38.333,-0.476
38.333,-0.472
38.333,-0.46799999999999997
38.333,-0.46399999999999997
38.333,-0.45999999999999996
38.333,-0.45599999999999996
38.333,-0.45199999999999996
38.333,-0.44799999999999995
38.333,-0.44399999999999995
38.333,-0.43999999999999995
38.333,-0.43599999999999994
38.333,-0.43199999999999994
38.333,-0.42799999999999994
38.333,-0.42399999999999993
38.333,-0.41999999999999993
38.333,-0.4159999999999999
38.333,-0.4119999999999999
38.333,-0.4079999999999999
38.333,-0.4039999999999999
38.333,-0.3999999999999999
38.333,-0.3959999999999999
38.333,-0.3919999999999999
38.336,-0.52
38.336,-0.516
38.336,-0.512
38.336,-0.508
38.336,-0.504
38.336,-0.5
38.336,-0.496
38.336,-0.492
38.336,-0.488
38.336,-0.484
38.336,-0.48
38.336,-0.476
38.336,-0.472
38.336,-0.46799999999999997
38.336,-0.46399999999999997
38.336,-0.45999999999999996
38.336,-0.45599999999999996
38.336,-0.45199999999999996
38.336,-0.44799999999999995
38.336,-0.44399999999999995
38.336,-0.43999999999999995
38.336,-0.43599999999999994
38.336,-0.43199999999999994
38.336,-0.42799999999999994
38.336,-0.42399999999999993
38.336,-0.41999999999999993
38.336,-0.4159999999999999
38.336,-0.4119999999999999
38.336,-0.4079999999999999
38.336,-0.4039999999999999
38.336,-0.3999999999999999
38.336,-0.3959999999999999
38.336,-0.3919999999999999
38.339,-0.52
38.339,-0.516
38.339,-0.512
38.339,-0.508
38.339,-0.504
38.339,-0.5
38.339,-0.496
38.339,-0.492
38.339,-0.488
38.339,-0.484
38.339,-0.48
38.339,-0.476
38.339,-0.472
38.339,-0.46799999999999997
38.339,-0.46399999999999997
38.339,-0.45999999999999996
38.339,-0.45599999999999996
38.339,-0.45199999999999996
38.339,-0.44799999999999995
38.339,-0.44399999999999995
38.339,-0.43999999999999995
38.339,-0.43599999999999994
38.339,-0.43199999999999994
38.339,-0.42799999999999994
38.339,-0.42399999999999993
38.339,-0.41999999999999993
38.339,-0.4159999999999999
38.339,-0.4119999999999999
38.339,-0.4079999999999999
38.339,-0.4039999999999999
38.339,-0.3999999999999999
38.339,-0.3959999999999999
38.339,-0.3919999999999999
38.342,-0.52
38.342,-0.516
38.342,-0.512
38.342,-0.508
38.342,-0.504
38.342,-0.5
38.342,-0.496
38.342,-0.492
38.342,-0.488
38.342,-0.484
38.342,-0.48
38.342,-0.476
38.342,-0.472
38.342,-0.46799999999999997
38.342,-0.46399999999999997
38.342,-0.45999999999999996
38.342,-0.45599999999999996
38.342,-0.45199999999999996
38.342,-0.44799999999999995
38.342,-0.44399999999999995
38.342,-0.43999999999999995
38.342,-0.43599999999999994
38.342,-0.43199999999999994
38.342,-0.42799999999999994
38.342,-0.42399999999999993
38.342,-0.41999999999999993
38.342,-0.4159999999999999
38.342,-0.4119999999999999
38.342,-0.4079999999999999
38.342,-0.4039999999999999
38.342,-0.3999999999999999
38.342,-0.3959999999999999
38.342,-0.3919999999999999
38.345,-0.52
38.345,-0.516
38.345,-0.512
38.345,-0.508
38.345,-0.504
38.345,-0.5
38.345,-0.496
38.345,-0.492
38.345,-0.488
38.345,-0.484
38.345,-0.48
38.345,-0.476
38.345,-0.472
38.345,-0.46799999999999997
38.345,-0.46399999999999997
38.345,-0.45999999999999996
38.345,-0.45599999999999996
38.345,-0.45199999999999996
38.345,-0.44799999999999995
38.345,-0.44399999999999995
38.345,-0.43999999999999995
38.345,-0.43599999999999994
38.345,-0.43199999999999994
38.345,-0.42799999999999994
38.345,-0.42399999999999993
38.345,-0.41999999999999993
38.345,-0.4159999999999999
38.345,-0.4119999999999999
38.345,-0.4079999999999999
38.345,-0.4039999999999999
38.345,-0.3999999999999999
38.345,-0.3959999999999999
38.345,-0.3919999999999999
38.348,-0.52
38.348,-0.516
38.348,-0.512
38.348,-0.508
38.348,-0.504
38.348,-0.5
38.348,-0.496
38.348,-0.492
38.348,-0.488
38.348,-0.484
38.348,-0.48
38.348,-0.476
38.348,-0.472
38.348,-0.46799999999999997
38.348,-0.46399999999999997
38.348,-0.45999999999999996
38.348,-0.45599999999999996
38.348,-0.45199999999999996
38.348,-0.44799999999999995
38.348,-0.44399999999999995
38.348,-0.43999999999999995
38.348,-0.43599999999999994
38.348,-0.43199999999999994
38.348,-0.42799999999999994
38.348,-0.42399999999999993
38.348,-0.41999999999999993
38.348,-0.4159999999999999
38.348,-0.4119999999999999
38.348,-0.4079999999999999
38.348,-0.4039999999999999
38.348,-0.3999999999999999
38.348,-0.3959999999999999
38.348,-0.3919999999999999
38.351,-0.52
38.351,-0.516
38.351,-0.512
38.351,-0.508
38.351,-0.504
38.351,-0.5
38.351,-0.496
