place_id,name,address,lat,lng,types,rating,user_ratings_total,price_level,website,phone,summary
ChIJczb06Qc3Yg0RY_IbckESBFE,Restaurante The Garden,"Calle del Dr. Bergez, 59, 03012 Alicante (Alacant), Alicante, España",38.3589436,-0.4794647,establishment;food;point_of_interest;restaurant,4.5,1068,1,https://restaurante-thegarden.com/,966 35 01 78,
ChIJ8fb31SI3Yg0RwGU9DL01dyE,Restaurante Mediterraneum - Alicante,"P.º de Gomiz, 03016 Alicante (Alacant), Alicante, España",38.3446242,-0.479079,establishment;food;point_of_interest;restaurant,4.7,7706,2,https://mediterraneumalicante.com/,606 32 17 24,
ChIJnWRpYLI3Yg0RmPLSs-A3FRI,Pizzeria Ghetto Vecchio,"C. Trident, 19, 03540 Alacant, Alicante, España",38.3603984,-0.4247914,establishment;food;point_of_interest;restaurant,4.4,1514,,https://montroyal.es/restaurante/ghetto-vecchio/,692 10 07 12,
ChIJMX3zRAA3Yg0RJVAY-DgS8nY,Restaurant Méditerranéen,"03003 Alicante (Alacant), Alicante, España",38.3457685,-0.4909444,establishment;food;point_of_interest;restaurant,,,,,,
ChIJXQR9gcM5Yg0Rx_ojAb1UO60,Borg Raíces y Alas,"Carrer de Juan de la Cierva, 31, 03560 El Campello, Alicante, España",38.3897998,-0.4104157,establishment;food;point_of_interest;restaurant,4.9,326,,https://borgcasadecomidas.com/,966 47 51 43,
ChIJvUvNdPs3Yg0RC5RhiALV5b0,D´todito,"C. Pardo Bazán, 1, 03010 Alicante (Alacant), Alicante, España",38.3660936,-0.4956166,bar;cafe;establishment;food;meal_delivery;point_of_interest;restaurant;store,4.8,33,,https://www.instagram.com/_dtodito_/,652 88 24 80,
ChIJo_byIls2Yg0RfGwBSMNaQT8,Kebap Pizzeria Las Torres,"Carrer del Regidor Lorenzo Llaneras, 1, 03005 Alacant, Alicante, España",38.348154,-0.500186,bar;establishment;food;meal_delivery;meal_takeaway;point_of_interest;restaurant,3.8,17,,,965 12 67 41,
ChIJ1fTZz_0zYg0RGSg4gUMawHM,Cervecería Sebastiá,"Calle Alcalde Ramón Orts Galán, 17, 03690 San Vicente del Raspeig, Alicante, España",38.3968971,-0.5147035,bar;establishment;food;point_of_interest;restaurant,4.5,881,1,http://cerveceriasebastia.eatbu.com/,965 66 68 06,
ChIJawJIIDI3Yg0Rye5aeUMzU4Q,Burg Brothers,"Partida de Orgegia, S/N, 03015 Alacant, Alicante, España",38.3802951,-0.459266,establishment;food;point_of_interest;restaurant,5,2,,https://www.instagram.com/burg_brothers,631 87 18 75,
ChIJO2pHgJ43Yg0R8cqh84iERmo,CALAMARDITO,"C. San Vicente, 16, 03004 Alicante (Alacant), Alicante, España",38.3489402,-0.4847476,establishment;food;meal_takeaway;point_of_interest;restaurant,4.7,815,1,https://www.instagram.com/calamardito.alc,,
