place_id,name,address,lat,lng,types,rating,user_ratings_total,price_level,website,phone,summary
ChIJ28xxDea2Yw0Rk3YrVRX0Pi8,La Cantoneta De Josep,"Carrer Antonio Moya Albaladejo, 42, 03204 Elx, Alicante, España",38.2558579,-0.7067353,establishment;food;point_of_interest;restaurant,4.8,6,,,,
ChIJ1eWMpvS2Yw0RdgeO3riV4PQ,Museum Restaurante,"Plaza del Congreso Eucarístico, 17, 03202 Elx, Alicante, España",38.2675011,-0.6970845,bar;establishment;food;point_of_interest;restaurant,4.3,1144,2,https://sites.google.com/view/museumrestaurante/inicio,966 21 12 12,
ChIJt6o4UYC2Yw0RlSQ6TIl3030,Golden City,"Av. d'Alacant, 90, 03203 Elx, Alicante, España",38.2701416,-0.6793804999999999,establishment;food;point_of_interest;restaurant,4.2,986,1,http://www.restaurantegoldencity.es/,966 21 15 89,
ChIJfQBNg4C2Yw0RlSylY72hLec,Las Cucharas De Mamá,"C. Vicent Andrés Estellés, 24, 03202 Elche, Alicante, España",38.2721584,-0.6802606999999999,establishment;food;point_of_interest;restaurant,4.4,145,1,https://m.facebook.com/Lascucharasdemama24/posts/?ref=page_internal&mt_nav=0&locale2=es_ES,966 11 32 78,
ChIJJ7-TDgC3Yw0RvY36jQ06RMo,Pitta hut,"Carrer de la Diagonal, 37, 03206 Elx, Alicante, España",38.2720744,-0.7078253999999999,establishment;food;point_of_interest;restaurant,2.7,52,,,865 67 52 90,
ChIJCS4J00G3Yw0RisGxwwobejE,Cuenco De Oro,"Lugar Llano San José, 112, 03293 Llano de San José, Alicante, España",38.2505613,-0.73678,establishment;food;point_of_interest;restaurant,3.8,4,,,,
ChIJneyt3-i2Yw0RbRzWb-REoMc,Cafeteria La Nova Festa,"C/ Federico García Lorca, 125, 03204 Elx, Alicante, España",38.2546433,-0.7034482999999999,bar;cafe;establishment;food;point_of_interest;restaurant;store,4.4,364,1,,966 09 36 90,
ChIJD27J5wi3Yw0RoYsSZv1kFyg,Tabuu Restaurante,"Plaça Glorieta, 8, 03203 Elx, Alicante, España",38.2656253,-0.6968268,cafe;establishment;food;point_of_interest;restaurant;store,4.4,583,,,637 66 32 76,
ChIJ89QiteW2Yw0RHnNeO7y4NUg,TAPERIA MARTIN,"Carrer Concepción Arenal, 172, 03204 Elx, Alicante, España",38.2581124,-0.7080803999999999,bar;establishment;food;point_of_interest;restaurant,4.5,296,,,666 96 42 59,
ChIJFQf6t-i2Yw0Rq4AgwPL9_Mg,Bar Beatriz,"Carrer Conrado del Campo, 118, 03204 Elx, Alicante, España",38.2557236,-0.7046667999999999,bar;cafe;establishment;food;point_of_interest;restaurant,4.3,25,1,,639 62 92 69,
