place_id,name,lat,lng,vicinity
ChIJBw-e15w7Yg0RXelt-pDbTzA,Restaurante Molimar II,38.41191839999999,-0.4436107999999999,"Carrer Felipe Antón, 36, Mutxamel"
ChIJYYKJtLA7Yg0RVdQ9wlwkt8o,"Restaurant ""Los Andaluces""",38.42434,-0.4071065,"Carrer de Sant Ramon, 9, El Campello"
ChIJXR8oQrE5Yg0RaQWahnL1Jh0,La Paellica Playa de San Juan,38.3643264,-0.4256404,"Carrer Trident, 31, Alacant"
ChIJ35jMElM3Yg0Ra3RNslZPiLg,Parrilla Buenos Aires,38.3560185,-0.4767727,"Calle Antonio Maura, Local N·32, Alicante (Alacant)"
ChIJFRL8Raw3Yg0RIhvDMIHfSkc,El Pollastre Alicanti San Vicente 50,38.3505316,-0.4846800999999999,"Calle San Vicente, 50, Alicante (Alacant)"
ChIJS1s_N7M3Yg0RZpadAclCM9s,Restourante Pizzeria,38.34348800000001,-0.4874774000000001,"Carrer San Francisco, 67, Alacant"
ChIJ_aWE8JA3Yg0RvijcjbR-cBs,Restaurante Despedidas Karamba (solo sábados),38.34754939999999,-0.4824994,"Calle San Rafael, 15, Alicante (Alacant)"
ChIJQcyk8bI3Yg0RZu1U32Qr3BE,La Casa De Leo,38.34543519999999,-0.4861373,"Calle San Ildefonso, 12, Alicante (Alacant)"
ChIJvYc3yQ82Yg0RDlS-37EMTrk,Sánchez Café,38.32818989999999,-0.5172538,"Calle de Ramón Gómez Sempere, 28, Alicante (Alacant)"
ChIJx94VaAA3Yg0RUjsAqF-JWLk,Cafetería Bar Mia,38.3638183,-0.4963818,"Carrer Nostra Senyora dels Angels, 15, Alacant"
ChIJ2ca58103Yg0RhhGgt5MpA5o,La Bona Gastrobar,38.3462482,-0.4873675,"Carrer Navas, 38, Alacant"
ChIJ4-FmOE45Yg0R_PqC54zOSEM,Nuova Napoli,38.3738598,-0.4107665999999999,"Avenida de Niza, 21, Alicante (Alacant)"
ChIJpcQia8A3Yg0RKuBRM_5hHcc,Los Amigos Halal,38.3689924,-0.4820095,"Calle Benejúzar, 2, Alicante (Alacant)"
ChIJIc5i2HY3Yg0RMzHhF_GU90I,Artesana Cocina Peruana,38.3478112,-0.4877887,"Carrer Poeta Campos Vasallo, 11, Alacant"
ChIJsdXGZ7E5Yg0RwaxI62mKTKQ,Kimoshi,38.363881,-0.4262619999999999,"Avinguda de la Condomina, 75, Alacant"
ChIJ_2eDFwA3Yg0RAKcI--z1Hf0,mama african food,38.3723299,-0.4805051,"Calle Músico Antonio Flores, Alicante (Alacant)"
ChIJgTdYH0Q2Yg0RBwy3FsQ2g_w,A L´ALBA Cafetería Restaurante,38.3421268,-0.500996,"Junto Juzgados de Benalua, Calle de los Doscientos, 9, Alacant"
ChIJD02hjEw2Yg0RNLtjebUE-hQ,Supermercado Dialprix,38.3431512,-0.4900416,"Carrer Alemania, 37, Alacant"
ChIJk_v1JpA7Yg0RhL74m0oLn4o,Cervecería Trivoli .,38.4029814,-0.4385062,"Paseo la Maigmona, n° 11, local 3, Sant Joan d'Alacant"
ChIJA6gbkUM2Yg0RBlGpmdbuwso,Asador Princesa Mercedes,38.343624,-0.5029441,"Carrer de la Princesa Merce, 7, Alacant"
ChIJn1PUovs2Yg0RKG_13jdbRN8,Bon Rostit,38.3647637,-0.4945827,"Pasaje del Distrito, 3, Alicante (Alacant)"
ChIJzS36hYE3Yg0RQ9avIlSOUos,Restaurant Sertes,38.3439383,-0.4848853,"Plaza Gabriel Miró, 21, Alicante (Alacant)"
ChIJv6d6fqg5Yg0RhYLZycIIlt4,"Telepizza San Juan, Playa - Comida a Domicilio",38.368965,-0.414394,"Avenida de Holanda, 12, Sant Joan d'Alacant"
ChIJc_FhPFA2Yg0R7vQi5R5MJvk,Supermercat Dia,38.34793289999999,-0.4959839999999999,"Carrer Pintor Gisbert, 23, Alacant"
ChIJr51LFwA3Yg0RnvnItHnlVCI,Artesana Cocina Peruana,38.3396988,-0.4902836,"Carrer Pintor Aparicio, 7, Alacant"
ChIJeRdRrGk2Yg0R2U6m4wo8DxA,La Austriaca,38.344265,-0.5089307,"Carrer Àries, 4, Alacant"
ChIJ8W87xAw3Yg0RCDhdRqFU3s8,Restaurante Libanés,38.36464959999999,-0.4701051999999999,"Avenida Pintor Xavier Soler, 6, Alacant"
ChIJqwV2hHg5Yg0R2piXVJigdB4,Digital Easy Menu,38.3926524,-0.4122218,"Av Almirall de, esquina, Avenida Doctor Severo Ochoa"
ChIJgWomAY43Yg0RJ8TEeoPGsQw,El Rollito | Thai Food,38.35086829999999,-0.487184,"Calle del Capitán Segarra, 32, Alicante (Alacant)"
ChIJe96BVgA3Yg0RalCkJSyAi6g,Trattoria,38.3505478,-0.4876108,"Calle de Juan de Herrera, 38, Alicante (Alacant)"
ChIJMVf03Gc2Yg0R_oTbQljpnt8,La Taberna de Lara,38.34746359999999,-0.5080687,"Carrer Periodista Espinosa Echevarría, Bajo 1, Alacant"
ChIJvQde8-I7Yg0RCrIK48Vm07A,Rey doner Kebab El campello,38.428798,-0.3898904999999999,"Carrer Sant Bartomeu, 120, El Campello"
ChIJJXEeOAA3Yg0RXb2XQFXxNRo,El Montan̈de,38.3448657,-0.488307,"Calle Periodista Pirula Arderius, 6, Alicante (Alacant)"
ChIJofZMwsM5Yg0RI5Rnxh6Nfag,"Cervecería ""Kiosko del Parque Sant Joan""",38.396099,-0.4351391000000001,"Carrer Doctor Severo Ochoa, 5S, Sant Joan d'Alacant"
ChIJzxnqjK03Yg0Rm7pAFz22AKk,Celeste y Don Carlos,38.3476753,-0.4843445999999999,"Calle General Primo de Rivera, 12, Alicante (Alacant)"
ChIJk9m3PEY7Yg0R_PbynlqeIwc,Indian House Sant Joan d'Alacant,38.4057263,-0.437199,"Carrer del Salt, 10, San Juan"
ChIJqdO2JdM5Yg0RXm68zWp2P3Q,Davide Pizza,38.3631791,-0.4308292,"Calle Pedro Ferrándiz, 4, Alicante (Alacant)"
